#hostname	circleLatitude	circleLongitude	radius	iataCode	iataLatitude	iataLongitude
1004045	32.0695	34.7695	45.09095523388289	TLV	32.0113983154	34.8866996765
19810	48.7375	9.0975	68.89151792087894	STR	48.6898994446	9.2219600677
14899	47.5215	19.0615	70.7938194060171	BUD	47.4369010925	19.2555999756
21973	45.7985	15.9405	72.40974020101315	ZAG	45.7429008484	16.0687999725
20339	50.4315	30.5085	75.78556106359736	GML	50.6035003662	30.1919002533
6763	45.4785	9.1005	80.2313648766092	MXP	45.6305999756	8.7281103134
1003175	50.1095	8.6705	81.26919903055395	FRA	50.0264015198	8.543129921
1000608	51.5115	-0.0025	83.0784070682079	LTN	51.8746986389	-0.3683330119
1001120	53.3475	-6.2615	87.21228866258355	DUB	53.4212989807	-6.270070076
22069	53.6915	10.2605	87.42845480335197	XFW	53.5352783203	9.8355560303
1004988	50.0915	14.4115	90.09404366510854	PRG	50.1007995605	14.2600002289
25464	46.9695	28.8505	97.46883951596843	KIV	46.9277000427	28.9309997559
27706	55.7605	37.6175	105.99892110546973	DME	55.4087982178	37.9062995911
16245	42.6895	23.3195	110.18654838721709	SOF	42.6966934204	23.4114360809
1004518	51.2215	6.7675	110.4128719698191	CGN	50.8658981323	7.1427397728
35558	59.9315	30.3595	113.90732780838158	LED	59.8003005981	30.2625007629
50904	56.9595	24.1275	116.62153432862303	RIX	56.9235992432	23.9710998535
1003045	48.9095	2.3595	120.58037262926511	ORY	48.7252998352	2.3594400883
32130	55.7175	12.4385	121.9433435378237	RKE	55.5856018066	12.1314001083
52992	48.1985	16.3715	125.5052526794362	WIE	48.1102981567	16.5697002411
53530	44.8175	20.4485	142.9397619671783	BEG	44.8184013367	20.3090991974
55388	59.3615	18.0015	176.24719713067896	ARN	59.6519012451	17.9186000824
53171	52.5275	13.3405	197.45376612845396	SXF	52.3800010681	13.5225000381
33382	44.4285	26.1015	207.2459345197592	OTP	44.5722007751	26.1021995544
53041	60.3275	25.0395	235.01815557961447	FICIX	60.1733244	24.9410248
1001898	40.3715	-3.7685	267.07809910045063	TOJ	40.4967002869	-3.4458699226
32773	53.1685	22.0705	344.2827435425414	WAW	52.1656990051	20.9671001434
1004166	41.4005	2.1905	352.88422307269803	BCN	41.2971000671	2.0784599781
1004381	38.7475	-9.2285	469.21770024019673	SVQ	37.4179992676	-5.8931097984
11803	40.5885	14.9775	496.9560960325868	FCO	41.8045005798	12.2508001328
